name,artist,id,added_at,added_by,length_seconds
More Than A Woman,Bee Gees,2cX2coZS1PYBfPs8wgbdWE,2021-07-17T10:00:25Z,4077db4yencw87jr5ne6q3n9p,196
How Will I Know,Whitney Houston,5tdKaKLnC4SgtDZ6RlWeal,2021-07-17T10:02:06Z,4077db4yencw87jr5ne6q3n9p,275
My Life,Billy Joel,4ZoBC5MhSEzuknIgAkBaoT,2021-07-17T10:02:30Z,4077db4yencw87jr5ne6q3n9p,284
Do You Believe in Magic?,The Lovin' Spoonful,1udKn1oNKYQSQ9OmiIWCMu,2021-07-17T10:02:42Z,4077db4yencw87jr5ne6q3n9p,125
Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,2021-07-17T10:20:40Z,4077db4yencw87jr5ne6q3n9p,230
Cecilia,Simon & Garfunkel,6QhXQOpyYvbpdbyjgAqKdY,2021-07-17T10:20:51Z,4077db4yencw87jr5ne6q3n9p,174
I'm Still Standing,Elton John,1jDJFeK9x3OZboIAHsY9k2,2021-07-17T10:21:16Z,4077db4yencw87jr5ne6q3n9p,183
Crazy Little Thing Called Love - Remastered 2011,Queen,6xdLJrVj4vIXwhuG8TMopk,2021-07-17T10:21:24Z,4077db4yencw87jr5ne6q3n9p,163
Zanzibar,Billy Joel,70Znjq5VPKFrwlB7O26SWT,2021-07-17T10:22:37Z,4077db4yencw87jr5ne6q3n9p,310
Bennie And The Jets - Remastered 2014,Elton John,5Wj1rJnCLpMHdLaxsFtJLs,2021-07-17T10:22:47Z,4077db4yencw87jr5ne6q3n9p,322
L-O-V-E,Nat King Cole,4QxDOjgpYtQDxxbWPuEJOy,2021-07-21T09:56:05Z,4077db4yencw87jr5ne6q3n9p,155
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,2021-07-21T09:59:20Z,4077db4yencw87jr5ne6q3n9p,251
Young Hearts Run Free,Candi Staton,3MFa9idQuY4iJLWsZl3tIQ,2021-07-24T09:51:10Z,4077db4yencw87jr5ne6q3n9p,248
Stumblin' In,"Suzi Quatro, Chris Norman",2NKZe36oAGEpBx26OoBFLj,2021-07-24T09:55:03Z,4077db4yencw87jr5ne6q3n9p,239
Wouldn't It Be Nice,The Beach Boys,6VojZJpMyuKClbwyilWlQj,2021-08-22T22:17:21Z,4077db4yencw87jr5ne6q3n9p,153
I Got You (I Feel Good),James Brown & The Famous Flames,4ulUxJwGJeCkthwblfTN0j,2021-08-22T22:17:31Z,4077db4yencw87jr5ne6q3n9p,166
Respect,Aretha Franklin,1DzKS1j1XiKJ5HN9bnFGO0,2021-08-22T22:17:47Z,4077db4yencw87jr5ne6q3n9p,148
I Will Survive,Gloria Gaynor,5GGVL37gRgOMEAVGSP5O71,2021-09-05T18:46:39Z,4077db4yencw87jr5ne6q3n9p,198
You Can't Hurry Love,The Supremes,1OppEieGNdItZbE14gLBEv,2021-12-08T19:49:20Z,4077db4yencw87jr5ne6q3n9p,167
That's Life,Frank Sinatra,4FmCUATNIarCQh72JYdvnm,2021-12-08T21:59:03Z,4077db4yencw87jr5ne6q3n9p,187
Could It Be I'm Falling in Love,The Spinners,5i0urffBRKl09GSX2Jhdeh,2021-12-21T20:26:05Z,4077db4yencw87jr5ne6q3n9p,249
Rich Girl,Daryl Hall & John Oates,0qRR9d89hIS0MHRkQ0ejxX,2021-12-30T17:45:18Z,4077db4yencw87jr5ne6q3n9p,142
Son Of A Preacher Man,Dusty Springfield,6ek9SiEj5a65WIs2EV7qiM,2022-01-04T17:32:14Z,4077db4yencw87jr5ne6q3n9p,148
You Make Me Feel Like Dancing,Leo Sayer,3DZ11M7LSpVQzYHnFx3i95,2022-01-07T17:35:57Z,4077db4yencw87jr5ne6q3n9p,221
