name,artist,id,added_at,added_by,length_seconds
Fallout,Devin Townsend Project,0exBVcxA5WxbE3pzEf4sQV,2019-10-13T21:34:08Z,dcgf1cskgtjkfyutncw14t2eu,270
The Gun Show,In This Moment,2qc2uSwYlXSg5msv7VZ81c,2019-10-13T21:34:35Z,dcgf1cskgtjkfyutncw14t2eu,286
Fire Fire,Flyleaf,6SOzNLaZF6gHGgh7qU56hE,2019-10-13T21:34:47Z,dcgf1cskgtjkfyutncw14t2eu,181
Reason to Believe,Arch Enemy,02gIPDHCTuKgKEl2VlgPzt,2019-10-13T21:34:57Z,dcgf1cskgtjkfyutncw14t2eu,287
Rescue Me,The Tale Untold,4wnwZrwMJRr3Fi942IS7Ui,2019-10-13T21:35:13Z,dcgf1cskgtjkfyutncw14t2eu,240
A Natural Disaster - Remastered,Anathema,2Qn1vOdrfwcn1xZg5RZNSB,2019-10-13T21:35:28Z,dcgf1cskgtjkfyutncw14t2eu,387
Nemo,Nightwish,0tbbaYdhiFLFH0YUvvajI8,2019-10-13T21:41:51Z,dcgf1cskgtjkfyutncw14t2eu,279
Darkness,Stitched Up Heart,3giIrGLHcr21xCypgVdl2j,2019-10-13T21:42:24Z,dcgf1cskgtjkfyutncw14t2eu,212
Familiar Hell,Battle Beast,2WbXXDNlqz38pgvV8bwZig,2019-10-13T21:46:00Z,dcgf1cskgtjkfyutncw14t2eu,244
Cherry Bomb,The Runaways,7cdnq45E9aP2XDStHg5vd7,2019-10-13T21:47:01Z,dcgf1cskgtjkfyutncw14t2eu,138
The Only One,Evanescence,2LlCbNQnkIRIc2ssMgUZsV,2019-10-13T21:49:52Z,dcgf1cskgtjkfyutncw14t2eu,280
Ambiramus,Eluveitie,0gtyzXdxMyCSnn5QBer9AA,2019-10-13T22:43:26Z,dcgf1cskgtjkfyutncw14t2eu,173
Make A Move,Icon For Hire,0FtD1ZukwCnuTfTNuwxrQM,2019-10-13T22:43:45Z,dcgf1cskgtjkfyutncw14t2eu,183
Ready to Kill,Blackbriar,6YwQMj1PF0EVlcnKL4ZCDe,2019-10-13T22:44:03Z,dcgf1cskgtjkfyutncw14t2eu,224
Spellbound,Lacuna Coil,4DXswc4p8mel7E6C1ZSHDq,2019-10-13T22:44:53Z,dcgf1cskgtjkfyutncw14t2eu,201
"Teacher, Teacher!",Jinjer,4RZDQ6jEPLt9N91scevCj0,2019-10-13T23:13:42Z,dcgf1cskgtjkfyutncw14t2eu,351
Day Eleven: Love,Ayreon,3R8oScEzCQgPYzEBG928YU,2019-10-13T23:14:59Z,dcgf1cskgtjkfyutncw14t2eu,258
The Reckoning,"Within Temptation, Jacoby Shaddix",4GSjFSK1SM78wPTVbsSB0S,2019-10-13T23:17:44Z,dcgf1cskgtjkfyutncw14t2eu,251
Joan of Arc,In This Moment,45OFlmffEQJWlHu8Yf6Q1R,2019-10-13T23:19:41Z,dcgf1cskgtjkfyutncw14t2eu,217
,Unknown Artist,3lpnYiJSFZmtsIM13OyRfa,2019-10-13T23:22:04Z,dcgf1cskgtjkfyutncw14t2eu,0
Cassie,Flyleaf,6RPDAf8p0lGL3jxpnuNotC,2019-10-14T00:06:06Z,dcgf1cskgtjkfyutncw14t2eu,178
Green Heart,Flyleaf,0mGefmMPY0MsG2fyOztKml,2019-10-14T00:06:16Z,dcgf1cskgtjkfyutncw14t2eu,163
Graveyard of Identities,"Gold, Frankincense, & Myrrh",2ybwJnmmPNm1Vvjxy8q2Bk,2019-10-14T00:07:25Z,dcgf1cskgtjkfyutncw14t2eu,198
Tell Me It's Okay - Demo,Paramore,1b0sV4coLmS3ri2kZjr98z,2019-10-14T00:07:45Z,dcgf1cskgtjkfyutncw14t2eu,163
Ice Queen,Within Temptation,4GbYLpSqf2Trkwqgb7p1os,2019-10-14T00:08:03Z,dcgf1cskgtjkfyutncw14t2eu,318
Mother Earth,Within Temptation,0Ggzy6UEomashfAkKHzcQr,2019-10-14T00:08:09Z,dcgf1cskgtjkfyutncw14t2eu,330
